lon,lat,count
12585750,2594250,1
12615250,2659250,6
12631250,2610750,17
12679250,2621250,1
12583250,2605750,2
12607250,2590750,1
12623250,2610750,1
12655250,2612750,1
12596750,2639750,2
12676750,2644750,2
12578250,2674750,1
12626250,2620250,24
12654750,2598750,1
12670750,2628750,1
12686750,2614750,1
12620250,2605750,17
12620250,2604750,13
12636250,2637750,4
12644250,2592250,6
12644250,2681250,1
12676250,2624750,1
12593750,2679750,1
12625750,2616750,1
12625750,2609750,14
12597250,2619750,31
12677250,2629250,3
12645250,2635250,4
12597250,2620750,8
12597250,2621750,8
12621250,2629750,213
12615750,2616750,8
12615750,2629750,24
12663750,2614750,2
12647750,2614250,2
12634250,2615750,1
12618250,2645750,19
12586250,2568250,1
12602250,2667750,1
12618250,2667250,1
12650250,2657250,2
12695750,2576250,5
12591750,2620250,10
12671750,2574750,1
12687750,2621250,3
12605250,2599750,1
12621250,2635250,47
12685250,2586750,2
12649250,2638750,1
12582750,2702750,2
12678750,2567750,3
12606750,2624250,118
12638750,2623750,15
12670750,2616750,2
12588250,2629750,1
12588250,2693250,4
12660250,2620250,2
12606250,2659250,1
12603750,2648250,2
12683750,2558750,3
12675750,2592750,1
12577750,2609750,5
12601250,2571250,1
12586250,2701750,3
12602250,2662250,3
12602250,2622750,18
12647750,2628750,1
12599750,2671750,1
12607750,2588250,2
12671750,2592750,2
12589250,2564250,1
12581250,2612250,3
12604750,2636250,4
12615250,2647750,31
12583250,2628750,1
12671250,2643250,5
12588750,2619750,3
12620750,2646750,1
12668750,2584250,1
12668750,2620250,4
12596750,2566250,1
12644750,2641250,2
12610250,2640750,50
12610250,2566750,1
12610750,2614250,10
12656250,2636750,1
12690750,2630750,1
12674750,2630250,3
12610750,2631250,238
12610750,2610750,6
12594750,2614750,6
12666750,2674750,4
12618750,2605250,23
12618750,2620750,1
12618750,2654750,1
12651250,2688750,1
12603250,2671750,2
12586750,2639750,1
12637750,2611250,1
12581750,2701750,3
12616250,2619750,7
12600250,2671250,3
12653750,2635250,2
12669750,2628250,1
12595250,2628250,3
12627250,2622750,1
12675250,2603750,1
12605750,2664250,21
12672750,2616750,1
